"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "SCSS", "Ruby", "TypeScript", "YAML", "comment", "blank", "total"
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-assembly\ride-map-assembly.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 9, 33
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-final\ride-map-final.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-final\ride-map-final.component.scss", "SCSS", 0, 0, 0, 0, 0, 132, 0, 0, 0, 4, 31, 167
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-final\ride-map-final.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-final\ride-map-final.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-info\riding-info.component.html", "HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 6, 20, 125
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-info\riding-info.component.scss", "SCSS", 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 13, 73
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-info\riding-info.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-info\riding-info.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 182, 0, 6, 41, 229
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-toggle\riding-toggle.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-toggle\riding-toggle.component.scss", "SCSS", 0, 0, 0, 0, 0, 70, 0, 0, 0, 11, 17, 98
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\riding-toggle\riding-toggle.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
